xcen,ycen,sxx,syy,sxy                                                     
2.5000E+000,7.6500E+001,-8.6640E+006,-2.6084E+007,-3.5279E+003           
2.5000E+000,7.7500E+001,-8.6647E+006,-2.6081E+007,-6.3982E+003           
2.5000E+000,7.8500E+001,-8.6652E+006,-2.6079E+007,-8.7452E+003           
2.5000E+000,7.9500E+001,-8.6651E+006,-2.6076E+007,-1.1620E+004           
2.5000E+000,8.0500E+001,-8.6652E+006,-2.6071E+007,-1.3522E+004           
2.5000E+000,8.1500E+001,-8.6663E+006,-2.6066E+007,-1.5064E+004           
2.5000E+000,8.2500E+001,-8.6669E+006,-2.6059E+007,-1.6515E+004           
2.5000E+000,8.3500E+001,-8.6670E+006,-2.6054E+007,-1.7124E+004           
2.5000E+000,8.4500E+001,-8.6676E+006,-2.6047E+007,-1.7404E+004           
2.5000E+000,8.5500E+001,-8.6685E+006,-2.6041E+007,-1.7311E+004           
2.5000E+000,8.6500E+001,-8.6685E+006,-2.6034E+007,-1.6744E+004           
2.5000E+000,8.7500E+001,-8.6687E+006,-2.6029E+007,-1.5684E+004           
2.5000E+000,8.8500E+001,-8.6690E+006,-2.6022E+007,-1.4270E+004           
2.5000E+000,8.9500E+001,-8.6698E+006,-2.6017E+007,-1.2521E+004           
2.5000E+000,9.0500E+001,-8.6701E+006,-2.6012E+007,-1.0467E+004           
2.5000E+000,9.1500E+001,-8.6704E+006,-2.6008E+007,-7.9556E+003           
2.5000E+000,9.2500E+001,-8.6704E+006,-2.6005E+007,-5.4436E+003           
2.5000E+000,9.3500E+001,-8.6704E+006,-2.6002E+007,-2.8444E+003           
2.5000E+000,9.4500E+001,-8.6699E+006,-2.6000E+007,-4.1246E+002           
2.5000E+000,9.5500E+001,-8.6691E+006,-2.5999E+007,1.6418E+003            
2.5000E+000,9.6500E+001,-8.6679E+006,-2.5999E+007,3.1352E+003            
2.5000E+000,9.7500E+001,-8.6659E+006,-2.5999E+007,3.6150E+003            
2.5000E+000,9.8500E+001,-8.6634E+006,-2.5999E+007,3.5219E+003            
2.5000E+000,9.9500E+001,-8.6610E+006,-2.5999E+007,1.8600E+003           
3.5000E+000,5.0000E-001,-8.6686E+006,-2.6633E+007,7.4442E+001             
3.5000E+000,1.5000E+000,-8.6682E+006,-2.6633E+007,-8.9208E+002            
3.5000E+000,2.5000E+000,-8.6677E+006,-2.6633E+007,-1.2364E+003            
3.5000E+000,3.5000E+000,-8.6669E+006,-2.6633E+007,-9.3876E+002            
3.5000E+000,4.5000E+000,-8.6667E+006,-2.6634E+007,-2.4799E+003            
3.5000E+000,5.5000E+000,-8.6668E+006,-2.6633E+007,-2.8725E+003            
3.5000E+000,6.5000E+000,-8.6662E+006,-2.6633E+007,-3.4678E+003            
3.5000E+000,7.5000E+000,-8.6652E+006,-2.6632E+007,-4.6598E+003            
3.5000E+000,8.5000E+000,-8.6651E+006,-2.6632E+007,-5.8761E+003            
3.5000E+000,9.5000E+000,-8.6651E+006,-2.6631E+007,-7.4673E+003           
3.5000E+000,1.0500E+001,-8.6649E+006,-2.6629E+007,-9.2028E+003           
3.5000E+000,1.1500E+001,-8.6646E+006,-2.6628E+007,-1.1813E+004           
3.5000E+000,1.2500E+001,-8.6638E+006,-2.6625E+007,-1.4107E+004           
3.5000E+000,1.3500E+001,-8.6635E+006,-2.6623E+007,-1.7589E+004           
